burst,subband,center_freq_mhz,n_preferred,component,dnu_mhz,dnu_err_mhz,modulation_m,modulation_err,fit_range_mhz,selected_bic,selected_redchi,quality_flags
oran,0,1328.235796841934,1,1,0.4019000279561511,0.08309075262335656,0.8292522211816638,0.059889155952344286,16.98579684193396,70.00776343420362,1.1021013453371014,
oran,1,1358.926216832167,1,1,5.514758018232206,0.2755426403344953,1.362367623986303,0.017920549616154087,13.628316783330614,-807.0500856890378,0.15821289856576845,
oran,2,1395.6906234738728,1,1,1.5786504402189965,0.12696689634136965,1.165208147752077,0.030009561508350272,22.846125671495937,24.095530032165914,1.0097387648795084,
oran,3,1458.7654647566335,2,1,0.47072659432577413,0.1667642904914814,1.126038094073631,0.12935525506020665,25.0,60.5265054351702,1.0398471805786555,
oran,3,1458.7654647566335,2,2,503.6754142415753,37518.385547172504,20.44184989830752,1519.3931153329554,25.0,60.5265054351702,1.0398471805786555,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
phineas,0,1329.197257040534,1,1,7.0444789353005905,0.9653013038647431,0.6690745784090626,0.023207089375882898,17.886211948559335,11.78619803681826,0.9926448347464777,
phineas,1,1376.1867165879864,1,1,18.38321605274156,12.599435020168428,0.4923905990419599,0.14621433934236647,25.0,23.983126028802335,1.008416640906412,
phineas,2,1451.989459547452,1,1,3.4348770247198033,1.685993111724453,0.5759280604930526,0.07755819706803103,25.0,27.78474405953858,1.0131083699248336,
whitney,0,1371.5320283249225,1,1,29.46292634651168,4.704041909292519,0.7367462126612849,0.07431601779464299,25.0,-41.77491039353447,0.9306153692575918,dnu_exceeds_fit_window
whitney,1,1465.2972895979162,1,1,23.365065914828833,1.0316010660207435,0.8266115801953504,0.0195551238752633,25.0,-113.68362992022152,0.8523910670101429,
wilhelm,0,1331.9748087253786,1,1,0.32883128827973573,0.06474801409708301,0.18129802722497157,0.012709263623870762,20.480628357480047,66.46383083554656,1.0772726932211198,
wilhelm,1,1377.5144473384337,1,1,1.0145377457435902,0.2953412045597825,0.11595461773915527,0.011056158620884297,24.5859107927722,100.57913959409365,1.1093140864251685,
wilhelm,2,1424.122375061045,1,1,3.780166111606883,0.4358759579799399,0.15348916902047494,0.004539122810459323,21.60996255901016,68.3084847886527,1.0756447347993183,
wilhelm,3,1472.3479977209834,2,1,0.39919779003838274,0.10666184658140555,0.16995270525237327,0.014115461483219339,25.0,-44.72459690864804,0.9144449919944696,
wilhelm,3,1472.3479977209834,2,2,14.714516442903053,0.9020052658586017,0.28563295577406156,0.005416790553117039,25.0,-44.72459690864804,0.9144449919944696,
zach,0,1331.6237994465243,1,1,0.2035424784801494,0.05175694012065442,0.6668270504001421,0.11514041050424455,20.25170926257525,-483.71472969117804,0.4702706834925116,
