nickname,frb_name,frb_z,frb_z_lower,frb_z_upper,redshift_class,frb_redshift_basis,frb_posterior_sha256,frb_posterior_status,frb_ra_deg,frb_dec_deg,coverage_summary,coverage_limitations,query_limitations,census_status,empty_sightline_claim,row_kind,evidence_class,object_id,system_type,final_verdict,system_z,system_z_lower,system_z_upper,candidate_foreground_probability,candidate_science_admitted,candidate_ra_deg,candidate_dec_deg,impact_kpc,mass_msun,radius_kpc,radius_definition,geometry_status,budget_eligible
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115031.4+715735, 1253898",cluster,confirmed,0.2696,0.2696,0.2696,,True,177.63068,71.95965,4272.8,125000000000000.0,698.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J115436.9+713930, 1256077",cluster,confirmed,0.2628,0.2628,0.2628,,True,178.65378,71.65822,3989.8,47000000000000.0,560.0,R500c_catalog,pass,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J114928.5+712526, 1253366",cluster,confirmed,-0.0001,-0.0001,-0.0001,,True,177.36887,71.42403,3049.6,,,,invalid_foreground_redshift,False
phineas,FRB 20230307A,0.271,0.271,0.271,established,established spectroscopic host redshift,,,177.7813333333,71.6956388889,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:covered,footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,WHL J115048.0+714428,cluster,confirmed,0.1893,0.1893,0.1893,,True,177.69998,71.74124,614.3,,,R500c_catalog,missing_sourced_geometry,False
freya,FRB 20230325C,0.674568551,0.502673828,0.875969193,inferred_dm_z,diagnostic coupled DM-redshift posterior; host-rest median 100 pc cm^-3,192c271955e4de0fa21303d927bd899eb62e6b31fa992a91febafaeb2cf369a4,diagnostic_dm_redshift_estimate_not_established_redshift,88.188,74.2004722222,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+","exact query receipts missing: CLUSTERS, GLADE+, NED",blocked,False,host,host,,,,,,,,False,,,,,,,host_roster,False
freya,FRB 20230325C,0.674568551,0.502673828,0.875969193,inferred_dm_z,diagnostic coupled DM-redshift posterior; host-rest median 100 pc cm^-3,192c271955e4de0fa21303d927bd899eb62e6b31fa992a91febafaeb2cf369a4,diagnostic_dm_redshift_estimate_not_established_redshift,88.188,74.2004722222,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+","exact query receipts missing: CLUSTERS, GLADE+, NED",blocked,False,system,probabilistic_candidate,197030881733398302,halo,inconclusive,0.3047,0.23670000000000002,0.37270000000000003,0.997266,False,88.1729787,74.19784041,60.1,13018977990494.793,445.8656126627757,R200c,pass,False
freya,FRB 20230325C,0.674568551,0.502673828,0.875969193,inferred_dm_z,diagnostic coupled DM-redshift posterior; host-rest median 100 pc cm^-3,192c271955e4de0fa21303d927bd899eb62e6b31fa992a91febafaeb2cf369a4,diagnostic_dm_redshift_estimate_not_established_redshift,88.188,74.2004722222,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+","exact query receipts missing: CLUSTERS, GLADE+, NED",blocked,False,system,probabilistic_candidate,197040882212782495,halo,inconclusive,0.6175,0.49200000000000005,0.7430000000000001,0.612667,False,88.22143337,74.20135627,233.9,2492956128051.4624,226.86812138090824,R200c,pass,False
johndoeii,FRB 20230814B,0.5535,0.5535,0.5535,established,established spectroscopic host redshift,,,335.97475,73.02590556,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+",,established_host_redshift,False,host,host,,,,,,,,False,,,,,,,host_roster,False
hamilton,FRB 20230913G,0.3024,0.3024,0.3024,established,established spectroscopic host redshift,,,305.0371666667,70.7927666667,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+",,established_host_redshift,False,host,host,,,,,,,,False,,,,,,,host_roster,False
mahi,FRB 20240122A,0.931726883,0.736459784,1.163056,inferred_dm_z,diagnostic coupled DM-redshift posterior; host-rest median 100 pc cm^-3,192c271955e4de0fa21303d927bd899eb62e6b31fa992a91febafaeb2cf369a4,diagnostic_dm_redshift_estimate_not_established_redshift,39.7665,71.0178611111,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+","exact query receipts missing: CLUSTERS, GLADE+, NED",blocked,False,host,host,,,,,,,,False,,,,,,,host_roster,False
chromatica,FRB 20240203D,0.074,0.074,0.074,established,established spectroscopic host redshift,,,312.619125,73.9,CLUSTERS:covered; DESI_DR8_NORTH:not_covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,"outside footprint: DESI_DR8_NORTH, SDSS_DR12; footprint evidence incomplete: GLADE+",,established_host_redshift,False,host,host,,,,,,,,False,,,,,,,host_roster,False
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,host,host,,,,,,,,False,,,,,,,host_roster,False
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,192821700026167542,halo,confirmed,0.2028,0.2028,0.2028,,True,170.002558,70.68897047,170.6,7077422410797.027,378.08084187204736,R200c,pass,True
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,192831699797402822,halo,confirmed,0.2398,0.2398,0.2398,,True,169.9798302,70.69339484,220.7,5544095092280.866,343.79298770300375,R200c,pass,True
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J111929.5+705441, 1237905",cluster,confirmed,0.2162,0.2162,0.2162,,True,169.87289,70.91131,3133.0,178000000000000.0,766.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J112235.5+705438, 1239515",cluster,confirmed,0.2158,0.2158,0.2158,,True,170.6479,70.91058,4284.7,89000000000000.0,543.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J112350.9+704142, 1240175",cluster,confirmed,0.2133,0.2133,0.2133,,True,170.96191,70.69499,4267.4,209000000000000.0,848.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,0.287,0.287,established,established spectroscopic host redshift,,,169.9835417,70.67622222,CLUSTERS:covered; DESI_DR8_NORTH:covered; GLADE+:covered; NED:covered; SDSS_DR12:not_covered,outside footprint: SDSS_DR12; footprint evidence incomplete: GLADE+,,established_host_redshift,False,system,confirmed_system,"J111930.9+702041, 1237924",cluster,confirmed,0.0907,0.0907,0.0907,,True,169.87859,70.34475,3804.0,62000000000000.0,602.0,R500c_catalog,pass,False
